,word,freq,probability
384,please followmecody make day,35,0.001195804
385,pay dollars casting code,35,0.001195804
386,trending now chicago il,35,0.001195804
387,thanks coming last night,35,0.001195804
388,saysomething comes itunes will,35,0.001195804
389,comes itunes will buy,35,0.001195804
390,cant wait see come,34,0.001161639
391,happy new year may,34,0.001161639
392,hope youll join us,34,0.001161639
393,can never go wrong,34,0.001161639
394,early bird gets worm,34,0.001161639
395,ive seen long time,34,0.001161639
396,happy mothers day mama,34,0.001161639
397,looking forward reading tweets,34,0.001161639
398,can u plz follow,34,0.001161639
399,hes believe someday follow,34,0.001161639
400,believe someday follow back,34,0.001161639
401,someday follow back neversaynever,34,0.001161639
402,good morning great day,34,0.001161639
403,cant wait now boyfriend,34,0.001161639
404,wait now boyfriend going,34,0.001161639
405,now boyfriend going beast,34,0.001161639
406,boyfriend going beast im,34,0.001161639
407,going beast im saying,34,0.001161639
408,beast im saying beast,34,0.001161639
409,im saying beast love,34,0.001161639
410,saying beast love kidrauhl,34,0.001161639
411,beast love kidrauhl swag,34,0.001161639
412,kanjoyas emotional tool can,34,0.001161639
413,cant wait till tomorrow,34,0.001161639
414,love new favorite song,34,0.001161639
415,see think like man,34,0.001161639
416,pleasee oh please d,34,0.001161639
417,oh please d d,34,0.001161639
418,please d d d,34,0.001161639
419,follow looking forward tweets,34,0.001161639
420,right place right time,33,0.001127473
421,bring boil reduce heat,33,0.001127473
422,cant wait next one,33,0.001127473
423,right now feel like,33,0.001127473
424,moms happy mothers day,33,0.001127473
425,need help can get,33,0.001127473
426,make sure let know,33,0.001127473
427,let us know well,33,0.001127473
428,thank much kind words,33,0.001127473
429,makes world go round,33,0.001127473
430,happy april fools day,33,0.001127473
431,happy chinese new year,33,0.001127473
432,april showers bring may,33,0.001127473
433,follow please please please,33,0.001127473
434,express offers great prices,33,0.001127473
435,spot trending now chicago,33,0.001127473
436,go instead path leave,33,0.001127473
437,instead path leave trail,33,0.001127473
438,impossible get noticed knoe,33,0.001127473
439,get noticed knoe will,33,0.001127473
440,noticed knoe will happen,33,0.001127473
441,knoe will happen someday,33,0.001127473
442,will happen someday neversaynever,33,0.001127473
443,cant wait new song,33,0.001127473
444,new song saysomething comes,33,0.001127473
445,song saysomething comes itunes,33,0.001127473
446,maybe one day will,32,0.001093307
447,im looking forward reading,32,0.001093307
448,im pretty sure thats,32,0.001093307
449,just thought id let,32,0.001093307
450,thought id let know,32,0.001093307
451,dont know whats going,32,0.001093307
452,just dont feel like,32,0.001093307
453,let us know like,32,0.001093307
454,late night happy hour,32,0.001093307
455,love like love song,32,0.001093307
456,happy fathers day dads,32,0.001093307
457,money cant buy happiness,32,0.001093307
458,im happy right now,32,0.001093307
459,happy valentines day love,32,0.001093307
460,cant wait get work,32,0.001093307
461,ny helped residents red,32,0.001093307
462,helped residents red cross,32,0.001093307
463,residents red cross auto,32,0.001093307
464,cant wait see pics,32,0.001093307
465,todays specials emerald city,32,0.001093307
466,specials emerald city catering,32,0.001093307
467,emerald city catering take,32,0.001093307
468,follow back can dm,32,0.001093307
469,thank god another day,32,0.001093307
470,emotional tool can assist,32,0.001093307
471,just cant wait new,32,0.001093307
472,wait new song saysomething,32,0.001093307
473,follow let know sent,32,0.001093307
474,theres always next year,31,0.001059141
475,attacks enemies times chance,31,0.001059141
476,enemies times chance stun,31,0.001059141
477,times chance stun enemy,31,0.001059141
478,first time ive seen,31,0.001059141
479,harry potter deathly hallows,31,0.001059141
480,great night last night,31,0.001059141
481,cant wait till get,31,0.001059141
482,looking forward getting know,31,0.001059141
483,cant wait get started,31,0.001059141
484,look forward seeing soon,31,0.001059141
485,let know need anything,31,0.001059141
486,st patricks day parade,31,0.001059141
487,cant wait get hands,31,0.001059141
488,sometimes feel like im,31,0.001059141
489,movie ive ever seen,31,0.001059141
490,hope everyone good day,31,0.001059141
491,love cant wait see,31,0.001059141
492,go follow follow back,31,0.001059141
493,bst free ebook award,31,0.001059141
494,please add seattle tour,31,0.001059141
495,candyswipe free game comment,31,0.001059141
496,free game comment android,31,0.001059141
497,products works just cause,31,0.001059141
498,im little drunk high,31,0.001059141
499,nws issued severe thunderstorm,31,0.001059141
500,will please follow mean,31,0.001059141
501,happy birthday hope good,31,0.001059141
502,follow best day please,31,0.001059141
503,pm visit wwwradiotagrcomwfuv tag,31,0.001059141
504,path may lead go,31,0.001059141
505,hahah like surprise boy,31,0.001059141
506,like surprise boy saying,31,0.001059141
507,surprise boy saying can,31,0.001059141
508,boy saying can get,31,0.001059141
509,saying can get punked,31,0.001059141
510,can get punked hahah,31,0.001059141
511,get punked hahah love,31,0.001059141
512,express offers great savings,31,0.001059141
513,seemed like good idea,30,0.001024975
514,hope will join us,30,0.001024975
515,dont ask dont tell,30,0.001024975
516,good morning everyone happy,30,0.001024975
517,hours sleep last night,30,0.001024975
518,thing ive ever heard,30,0.001024975
519,dont get wrong im,30,0.001024975
520,hope youre great week,30,0.001024975
521,today cant wait see,30,0.001024975
522,ive said ill say,30,0.001024975
523,g fat g saturated,30,0.001024975
524,people dont even know,30,0.001024975
525,looking forward getting back,30,0.001024975
526,just got home work,30,0.001024975
527,white house correspondents dinner,30,0.001024975
528,better luck next time,30,0.001024975
529,anyone know can get,30,0.001024975
530,like lady think like,30,0.001024975
531,lies behind us lies,30,0.001024975
532,can follow please love,30,0.001024975
533,thanks follow hope see,30,0.001024975
534,add seattle tour bringdtoseattle,30,0.001024975
535,just wanted say love,30,0.001024975
536,post highlight tapes photos,30,0.001024975
537,dont know key success,30,0.001024975
538,thanks follow following back,30,0.001024975
539,someday will follow neversaynever,30,0.001024975
540,will follow neversaynever right,30,0.001024975
541,california express vip card,30,0.001024975
542,express vip card call,30,0.001024975
543,vip card call now,30,0.001024975
544,card call now join,30,0.001024975
